Index,Repository,URL,Stars,Year,Vulnerability Type,Risk Level,Has TrustedIPs,File Path
131,r9r-dev/portaefik,https://github.com/r9r-dev/portaefik,58,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_14_1767028255/r9r-dev_portaefik/docker-compose.yml
132,ldez/traefik-certs-dumper,https://github.com/ldez/traefik-certs-dumper,575,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_9_1767028255/ldez_traefik-certs-dumper/.goreleaser.yml
133,fastapi/full-stack-fastapi-template,https://github.com/fastapi/full-stack-fastapi-template,40279,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_11_1767028255/fastapi_full-stack-fastapi-template/docker-compose.yml
134,SushiFu/traefik-local,https://github.com/SushiFu/traefik-local,78,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_7_1767028255/SushiFu_traefik-local/docker-compose.yml
135,tiangolo/dockerswarm.rocks,https://github.com/tiangolo/dockerswarm.rocks,1148,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_2_1767028255/tiangolo_dockerswarm.rocks/mkdocs.yml
136,blaineventurine/home-automation-docker,https://github.com/blaineventurine/home-automation-docker,154,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_0_1767028255/blaineventurine_home-automation-docker/docker-compose.utilities.yml
137,y0ngb1n/dockerized,https://github.com/y0ngb1n/dockerized,951,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_1_1767028255/y0ngb1n_dockerized/docker/apps/minio/docker-compose.traefik.yml
138,jupyterhub/traefik-proxy,https://github.com/jupyterhub/traefik-proxy,58,2018,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_3_1767028255/jupyterhub_traefik-proxy/.readthedocs.yaml
139,ethibox/awesome-stacks,https://github.com/ethibox/awesome-stacks,1218,2018,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_6_1767028255/ethibox_awesome-stacks/stacks/adminer.yml
140,defeo/jupyterhub-docker,https://github.com/defeo/jupyterhub-docker,203,2018,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_5_1767028255/defeo_jupyterhub-docker/docker-compose.yml
141,dniel/traefik-forward-auth0,https://github.com/dniel/traefik-forward-auth0,90,2018,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_12_1767028255/dniel_traefik-forward-auth0/example/application.yaml
142,vaclav-cerny/docker-lemp-stack,https://github.com/vaclav-cerny/docker-lemp-stack,63,2018,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_14_1767028255/vaclav-cerny_docker-lemp-stack/docker/docker-compose.yml
143,thomseddon/traefik-forward-auth,https://github.com/thomseddon/traefik-forward-auth,2347,2018,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_13_1767028255/thomseddon_traefik-forward-auth/examples/traefik-v1.7/kubernetes/advanced-single-pod/kustomization.yaml
144,flaviostutz/docker-swarm-cluster,https://github.com/flaviostutz/docker-swarm-cluster,84,2018,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_8_1767028255/flaviostutz_docker-swarm-cluster/docker-compose-metrics.yml
145,giansalex/aspnetcore-load-balancing,https://github.com/giansalex/aspnetcore-load-balancing,68,2018,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_10_1767028255/giansalex_aspnetcore-load-balancing/docker-compose.traefik.yml
146,druidfi/stonehenge,https://github.com/druidfi/stonehenge,77,2018,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_9_1767028255/druidfi_stonehenge/compose.yaml
147,yanghongfei/Kubernetes,https://github.com/yanghongfei/Kubernetes,56,2018,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_11_1767028255/yanghongfei_Kubernetes/kubeadm-ha/traefik/traefik-ui.yaml
148,SimpleHomelab/AtoMiC-ToolKit-Docker,https://github.com/SimpleHomelab/AtoMiC-ToolKit-Docker,251,2018,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_7_1767028255/SimpleHomelab_AtoMiC-ToolKit-Docker/docker-compose-unifi-traefik.yml
149,allysonsilva/laravel-docker,https://github.com/allysonsilva/laravel-docker,108,2018,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_2_1767028255/allysonsilva_laravel-docker/docker-compose.yml
150,RawSanj/spring-redis-websocket,https://github.com/RawSanj/spring-redis-websocket,199,2018,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_0_1767028255/RawSanj_spring-redis-websocket/src/main/docker/docker-compose.yml
151,subdavis/selfhosted,https://github.com/subdavis/selfhosted,366,2018,forwardedHeaders.insecure (YAML),high,Yes,tmp_traefik/traefik_scan_1_1767028255/subdavis_selfhosted/docker-compose.yml
152,rootsongjc/kubernetes-vagrant-centos-cluster,https://github.com/rootsongjc/kubernetes-vagrant-centos-cluster,1926,2018,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_3_1767028255/rootsongjc_kubernetes-vagrant-centos-cluster/addon/traefik-ingress/traefik-rbac.yaml
153,captn3m0/nebula,https://github.com/captn3m0/nebula,60,2017,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_15_1767028255/captn3m0_nebula/monitoring/config/prometheus.yml
154,crazy-max/docker-rtorrent-rutorrent,https://github.com/crazy-max/docker-rtorrent-rutorrent,606,2017,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_6_1767028255/crazy-max_docker-rtorrent-rutorrent/examples/traefik/compose.yml
155,senseta-os/senseta-base-project,https://github.com/senseta-os/senseta-base-project,51,2017,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_5_1767028255/senseta-os_senseta-base-project/{{cookiecutter.project_slug}}/docker-compose.test.yml
156,guillaumebriday/traefik-docker-ansible,https://github.com/guillaumebriday/traefik-docker-ansible,96,2017,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_12_1767028255/guillaumebriday_traefik-docker-ansible/playbook.yml
157,koutsoumposval/laravel-microservices,https://github.com/koutsoumposval/laravel-microservices,221,2017,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_13_1767028255/koutsoumposval_laravel-microservices/docker/docker-compose.yml
158,crazy-max/docker-nextcloud,https://github.com/crazy-max/docker-nextcloud,265,2017,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_14_1767028255/crazy-max_docker-nextcloud/examples/traefik/compose.yml
159,zhuchuangang/k8s-install-scripts,https://github.com/zhuchuangang/k8s-install-scripts,260,2017,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_9_1767028255/zhuchuangang_k8s-install-scripts/yaml/traefik/traefik-rbac.yaml
160,vegasbrianc/docker-traefik-prometheus,https://github.com/vegasbrianc/docker-traefik-prometheus,353,2017,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_8_1767028255/vegasbrianc_docker-traefik-prometheus/docker-compose.yml
161,alextanhongpin/full-stack-microservice,https://github.com/alextanhongpin/full-stack-microservice,98,2017,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_11_1767028255/alextanhongpin_full-stack-microservice/traefik-docker/docker-compose/docker-compose.yml
